surveyId,fold,spatial_block,country,pa_distance_bucket,rarity_summary,true_cardinality,predicted_cardinality,matched_v25_f1,v26_f1,delta_f1
4803,0,+043:+012,Italy,20_to_50km,zero=0;rare=2;common=12,14,27,0.0975609756097561,0.0975609756097561,0.0
6811,0,+043:+002,France,100_to_200km,zero=0;rare=2;common=1,3,22,0.0,0.0,0.0
7219,0,+048:+005,France,50_to_100km,zero=0;rare=0;common=21,21,21,0.47619047619047616,0.47619047619047616,0.0
9576,0,+043:+002,France,100_to_200km,zero=1;rare=5;common=16,22,24,0.17391304347826086,0.17391304347826086,0.0
9786,0,+049:+006,France,20_to_50km,zero=0;rare=0;common=22,22,26,0.375,0.375,0.0
13339,0,+053:+006,Netherlands,20_to_50km,zero=0;rare=0;common=10,10,21,0.3125,0.3225806451612903,0.010080645161290314
15452,0,+048:-004,France,50_to_100km,zero=0;rare=0;common=15,15,19,0.45714285714285713,0.47058823529411764,0.013445378151260512
18238,0,+043:+002,France,50_to_100km,zero=0;rare=1;common=12,13,19,0.5142857142857142,0.5625,0.048214285714285765
18582,0,+040:+009,Italy,20_to_50km,zero=2;rare=3;common=4,9,19,0.0,0.0,0.0
19093,0,+053:+006,Netherlands,20_to_50km,zero=0;rare=0;common=7,7,21,0.41379310344827586,0.42857142857142855,0.014778325123152691
34346,0,+043:+004,France,50_to_100km,zero=2;rare=6;common=6,14,22,0.05405405405405406,0.05555555555555555,0.0015015015015014954
47832,0,+040:+009,Italy,20_to_50km,zero=0;rare=3;common=23,26,22,0.21739130434782608,0.20833333333333334,-0.009057971014492738
50254,0,+040:+009,Italy,20_to_50km,zero=0;rare=4;common=11,15,20,0.22857142857142856,0.22857142857142856,0.0
55256,0,+043:+002,France,50_to_100km,zero=0;rare=1;common=11,12,21,0.35294117647058826,0.36363636363636365,0.010695187165775388
56577,0,+043:+012,Italy,50_to_100km,zero=3;rare=5;common=24,32,28,0.06666666666666667,0.06666666666666667,0.0
62976,0,+044:+007,France,20_to_50km,zero=0;rare=9;common=3,12,24,0.11764705882352941,0.1111111111111111,-0.006535947712418305
63213,0,+048:+005,France,20_to_50km,zero=0;rare=0;common=28,28,26,0.48148148148148145,0.48148148148148145,0.0
67171,0,+043:+004,France,20_to_50km,zero=0;rare=2;common=3,5,24,0.16,0.13793103448275862,-0.022068965517241385
67210,0,+044:+007,France,20_to_50km,zero=1;rare=5;common=8,14,25,0.05263157894736842,0.05128205128205128,-0.0013495276653171379
72567,0,+040:+009,Italy,20_to_50km,zero=1;rare=5;common=16,22,19,0.5238095238095238,0.4878048780487805,-0.03600464576074336
76985,0,+043:+002,France,50_to_100km,zero=0;rare=2;common=12,14,22,0.3888888888888889,0.3888888888888889,0.0
79895,0,+043:+002,France,20_to_50km,zero=0;rare=0;common=26,26,24,0.52,0.52,0.0
