surveyId,fold,spatial_block,country,pa_distance_bucket,shift_risk,true_cardinality,predicted_cardinality,matched_v27_f1,v28_f1,delta_f1,species_swaps
2272,0,+0220:+0038,Denmark,20_to_50km,0.3274245,7,22,0.0,0.0,0.0,0
2334,0,+0222:+0037,Denmark,20_to_50km,0.29721206,22,23,0.4,0.4,0.0,0
3962,0,+0223:+0036,Denmark,20_to_50km,0.3170715,18,22,0.45,0.45,0.0,0
5310,0,+0220:+0038,Denmark,20_to_50km,0.32010838,10,19,0.13793103448275862,0.13793103448275862,0.0,0
8669,0,+0168:+0061,Italy,20_to_50km,0.22441773,14,17,0.5806451612903226,0.5806451612903226,0.0,0
9628,0,+0220:+0037,Denmark,20_to_50km,0.3312643,9,19,0.42857142857142855,0.42857142857142855,0.0,0
14636,0,+0219:+0038,Denmark,20_to_50km,0.34671065,10,19,0.06896551724137931,0.06896551724137931,0.0,0
15210,0,+0220:+0038,Denmark,20_to_50km,0.33211762,13,15,0.21428571428571427,0.21428571428571427,0.0,0
18378,0,+0223:+0036,Denmark,20_to_50km,0.30643538,10,19,0.27586206896551724,0.27586206896551724,0.0,0
18487,0,+0223:+0036,Denmark,20_to_50km,0.3212862,19,21,0.2,0.2,0.0,0
20110,0,+0168:+0061,Italy,20_to_50km,0.22387746,17,17,0.5294117647058824,0.5294117647058824,0.0,0
29281,0,+0168:+0061,Italy,20_to_50km,0.22732653,3,17,0.0,0.0,0.0,0
36569,0,+0222:+0037,Denmark,20_to_50km,0.34340158,20,21,0.5365853658536586,0.5365853658536586,0.0,0
39470,0,+0223:+0036,Denmark,20_to_50km,0.314334,17,23,0.55,0.55,0.0,0
40948,0,+0223:+0036,Denmark,20_to_50km,0.3133932,8,16,0.5,0.5,0.0,0
45208,0,+0223:+0036,Denmark,20_to_50km,0.302476,23,24,0.3829787234042553,0.3829787234042553,0.0,0
47967,0,+0223:+0036,Denmark,20_to_50km,0.3233968,16,22,0.3684210526315789,0.3684210526315789,0.0,0
48764,0,+0220:+0037,Denmark,20_to_50km,0.3097042,11,17,0.14285714285714285,0.14285714285714285,0.0,0
51887,0,+0168:+0061,Italy,20_to_50km,0.22353368,14,18,0.5,0.5,0.0,0
52388,0,+0223:+0036,Denmark,20_to_50km,0.32104412,16,26,0.42857142857142855,0.42857142857142855,0.0,0
54570,0,+0223:+0036,Denmark,20_to_50km,0.32866457,18,20,0.47368421052631576,0.47368421052631576,0.0,0
58027,0,+0223:+0036,Denmark,20_to_50km,0.31285676,20,24,0.45454545454545453,0.45454545454545453,0.0,0
58614,0,+0222:+0037,Denmark,20_to_50km,0.30401474,15,22,0.16216216216216217,0.16216216216216217,0.0,0
