surveyId,country,spatial_block,matched_v27_f1,v29_f1,delta_f1,true_cardinality,predicted_cardinality
2231,Denmark,+055:+009,0.3333333333333333,0.47619047619047616,0.14285714285714285,8,13
3445,Denmark,+055:+009,0.37209302325581395,0.32432432432432434,-0.047768698931489606,19,18
4308,Denmark,+055:+009,0.36363636363636365,0.5263157894736842,0.16267942583732053,5,14
7421,France,+046:+006,0.3076923076923077,0.37681159420289856,0.06911928651059085,38,31
7917,France,+043:+007,0.3116883116883117,0.18421052631578946,-0.12747778537252222,55,21
9063,Denmark,+055:+009,0.5151515151515151,0.5245901639344263,0.009438648782911119,42,19
9811,France,+044:+006,0.6122448979591837,0.5384615384615384,-0.07378335949764525,26,26
10147,Denmark,+055:+009,0.2631578947368421,0.2857142857142857,0.022556390977443608,15,20
11012,Denmark,+054:+009,0.6470588235294118,0.5142857142857142,-0.13277310924369756,21,14
11051,Denmark,+055:+009,0.2857142857142857,0.2127659574468085,-0.07294832826747719,30,17
15745,Denmark,+055:+009,0.4827586206896552,0.5,0.017241379310344807,10,14
16314,Denmark,+055:+009,0.4,0.35714285714285715,-0.04285714285714287,11,17
16913,Denmark,+055:+009,0.06896551724137931,0.0,-0.06896551724137931,7,22
17995,Denmark,+055:+009,0.21052631578947367,0.3333333333333333,0.12280701754385964,19,17
20332,Denmark,+055:+009,0.5416666666666666,0.4090909090909091,-0.1325757575757575,21,23
22379,Denmark,+055:+009,0.6296296296296297,0.6,-0.029629629629629672,28,22
23286,Denmark,+054:+009,0.4666666666666667,0.5714285714285714,0.10476190476190472,15,13
25572,Denmark,+055:+009,0.38461538461538464,0.36363636363636365,-0.02097902097902099,5,17
27460,Denmark,+055:+009,0.5714285714285714,0.5555555555555556,-0.015873015873015817,28,26
28323,Denmark,+054:+009,0.41025641025641024,0.4878048780487805,0.07754846779237023,22,19
28732,Denmark,+055:+009,0.34285714285714286,0.34285714285714286,0.0,12,23
29596,Denmark,+055:+009,0.32,0.2962962962962963,-0.023703703703703727,8,19
30569,Denmark,+055:+009,0.4,0.631578947368421,0.231578947368421,10,9
31754,Denmark,+055:+009,0.4,0.47619047619047616,0.07619047619047614,21,21
31883,Denmark,+054:+009,0.36363636363636365,0.4444444444444444,0.08080808080808077,6,12
32559,France,+044:+006,0.45714285714285713,0.5128205128205128,0.055677655677655646,15,24
33016,Denmark,+055:+009,0.33962264150943394,0.3137254901960784,-0.025897151313355515,29,22
35559,Denmark,+055:+009,0.32,0.3,-0.020000000000000018,8,12
38116,Denmark,+054:+009,0.5555555555555556,0.5714285714285714,0.015873015873015817,19,16
38241,Denmark,+055:+009,0.38095238095238093,0.3684210526315789,-0.012531328320802004,21,17
38700,Denmark,+055:+009,0.16,0.2222222222222222,0.06222222222222221,7,20
39241,Italy,+042:+015,0.0,0.0,0.0,4,18
43980,Denmark,+054:+009,0.38095238095238093,0.43478260869565216,0.05383022774327123,7,16
46216,Denmark,+055:+009,0.375,0.2978723404255319,-0.0771276595744681,23,24
46681,Denmark,+055:+009,0.4186046511627907,0.55,0.13139534883720932,19,21
47821,France,+044:+006,0.07142857142857142,0.06451612903225806,-0.006912442396313362,8,23
47856,Denmark,+054:+009,0.43478260869565216,0.4166666666666667,-0.018115942028985477,10,14
49713,Denmark,+055:+009,0.4444444444444444,0.5333333333333333,0.0888888888888889,21,24
58312,France,+043:+007,0.1,0.07547169811320754,-0.02452830188679246,13,40
58876,Italy,+042:+015,0.17647058823529413,0.21621621621621623,0.0397456279809221,14,23
59811,Denmark,+055:+009,0.17777777777777778,0.08333333333333333,-0.09444444444444446,25,23
65888,Denmark,+055:+009,0.16216216216216217,0.17647058823529413,0.014308426073131958,17,17
69822,Denmark,+055:+009,0.32,0.47058823529411764,0.15058823529411763,28,23
69877,Denmark,+055:+009,0.35,0.3902439024390244,0.040243902439024426,23,18
70174,Denmark,+055:+009,0.65,0.75,0.09999999999999998,18,22
74668,Denmark,+055:+009,0.3333333333333333,0.6206896551724138,0.2873563218390805,9,20
75043,Denmark,+055:+009,0.32558139534883723,0.3,-0.025581395348837244,22,18
77808,Denmark,+055:+009,0.4,0.3870967741935484,-0.012903225806451646,14,17
77967,Poland,+054:+017,0.44,0.3157894736842105,-0.1242105263157895,26,31
84033,Denmark,+055:+009,0.3829787234042553,0.15,-0.23297872340425532,21,19
84894,Germany,+054:+009,0.24,0.3333333333333333,0.09333333333333332,5,19
87529,France,+044:-001,0.3333333333333333,0.5454545454545454,0.2121212121212121,8,14
90465,Poland,+054:+017,0.5306122448979592,0.41379310344827586,-0.11681914144968336,25,33
90676,Denmark,+054:+009,0.42105263157894735,0.7692307692307693,0.34817813765182193,5,8
91391,Denmark,+055:+009,0.3157894736842105,0.35294117647058826,0.03715170278637775,5,12
92047,Denmark,+055:+009,0.3684210526315789,0.4864864864864865,0.11806543385490759,15,22
95005,France,+044:-001,0.5185185185185185,0.6666666666666666,0.14814814814814814,10,14
95171,Denmark,+055:+009,0.3018867924528302,0.2608695652173913,-0.04101722723543888,36,10
95730,Denmark,+054:+009,0.5263157894736842,0.45161290322580644,-0.07470288624787774,18,13
96525,Denmark,+054:+009,0.5217391304347826,0.6,0.07826086956521738,6,14
100388,France,+042:+000,0.3448275862068966,0.2222222222222222,-0.12260536398467436,8,28
100400,Denmark,+055:+009,0.1935483870967742,0.26666666666666666,0.07311827956989247,13,17
100956,Denmark,+055:+009,0.32432432432432434,0.2926829268292683,-0.03164139749505607,14,27
101919,Denmark,+055:+009,0.5333333333333333,0.5384615384615384,0.00512820512820511,17,9
102615,Denmark,+054:+009,0.5,0.4117647058823529,-0.08823529411764708,15,19
102643,Denmark,+054:+009,0.16,0.125,-0.035,8,24
103064,France,+044:+006,0.3125,0.42424242424242425,0.11174242424242425,10,23
104894,France,+046:+006,0.42105263157894735,0.5277777777777778,0.10672514619883045,32,40
106510,France,+044:+006,0.42105263157894735,0.4878048780487805,0.06675224646983313,16,25
106634,Denmark,+055:+009,0.6938775510204082,0.7142857142857143,0.020408163265306145,23,19
106847,Denmark,+055:+009,0.4444444444444444,0.5263157894736842,0.08187134502923976,14,24
113237,France,+044:+000,0.30303030303030304,0.29411764705882354,-0.0089126559714795,13,21
115088,Denmark,+055:+009,0.4878048780487805,0.30303030303030304,-0.18477457501847744,21,12
116264,Denmark,+055:+009,0.4444444444444444,0.4186046511627907,-0.0258397932816537,17,26
118355,Denmark,+055:+009,0.32558139534883723,0.47619047619047616,0.15060908084163893,20,22
120919,Denmark,+054:+009,0.45454545454545453,0.4,-0.05454545454545451,7,13
125563,Denmark,+055:+009,0.20512820512820512,0.16666666666666666,-0.038461538461538464,16,20
127193,Denmark,+055:+009,0.5128205128205128,0.5641025641025641,0.05128205128205132,16,23
128719,Poland,+051:+016,0.23529411764705882,0.2153846153846154,-0.019909502262443424,25,40
130293,France,+046:+006,0.42857142857142855,0.4528301886792453,0.024258760107816746,71,35
131217,Denmark,+054:+009,0.3333333333333333,0.48,0.14666666666666667,11,14
135245,Denmark,+055:+009,0.34782608695652173,0.32653061224489793,-0.021295474711623796,27,22
136114,France,+043:+007,0.37681159420289856,0.43243243243243246,0.0556208382295339,45,29
139919,Denmark,+055:+009,0.358974358974359,0.45,0.09102564102564104,18,22
142087,Denmark,+054:+009,0.26666666666666666,0.29411764705882354,0.027450980392156876,11,23
143059,Denmark,+055:+009,0.45,0.4,-0.04999999999999999,21,14
144016,Denmark,+054:+009,0.3125,0.5925925925925926,0.28009259259259256,12,15
148506,Denmark,+055:+009,0.2857142857142857,0.45454545454545453,0.16883116883116883,7,15
149046,Denmark,+054:+009,0.5517241379310345,0.6666666666666666,0.11494252873563215,10,14
149316,Denmark,+054:+009,0.4,0.5454545454545454,0.1454545454545454,9,13
151334,Denmark,+055:+009,0.06666666666666667,0.05405405405405406,-0.012612612612612609,7,30
151722,Denmark,+055:+009,0.22857142857142856,0.24242424242424243,0.013852813852813867,12,21
153400,France,+044:+006,0.23255813953488372,0.2553191489361702,0.022761009401286475,23,24
155123,Denmark,+054:+009,0.21428571428571427,0.46153846153846156,0.2472527472527473,9,17
157575,Italy,+042:+015,0.09523809523809523,0.09523809523809523,0.0,3,18
158315,Denmark,+055:+009,0.13636363636363635,0.22727272727272727,0.09090909090909091,21,23
159106,Denmark,+055:+009,0.41025641025641024,0.42105263157894735,0.010796221322537103,20,18
164881,France,+044:+006,0.42105263157894735,0.4383561643835616,0.017303532804614274,33,40
166141,Denmark,+055:+009,0.4444444444444444,0.5238095238095238,0.07936507936507942,25,17
170361,Denmark,+055:+009,0.43902439024390244,0.4888888888888889,0.04986449864498643,20,25
171392,Denmark,+055:+009,0.36363636363636365,0.4,0.036363636363636376,14,16
171527,France,+043:+007,0.3548387096774194,0.4067796610169492,0.051940951339529806,41,18
172148,Denmark,+054:+009,0.47058823529411764,0.4827586206896552,0.012170385395537553,19,10
172564,Denmark,+055:+009,0.4,0.4,0.0,7,13
173650,Denmark,+055:+009,0.42105263157894735,0.3157894736842105,-0.10526315789473684,17,21
177033,France,+042:+000,0.2857142857142857,0.15384615384615385,-0.13186813186813184,7,32
179177,Slovenia,+046:+013,0.0,0.0,0.0,5,15
181175,Denmark,+055:+009,0.21052631578947367,0.3684210526315789,0.15789473684210525,16,22
181913,Denmark,+055:+009,0.16216216216216217,0.26666666666666666,0.10450450450450449,20,10
182000,Denmark,+055:+009,0.21428571428571427,0.18181818181818182,-0.03246753246753245,37,18
185259,France,+046:+006,0.5365853658536586,0.5934065934065934,0.05682122755293484,58,33
187007,Denmark,+055:+009,0.23255813953488372,0.2727272727272727,0.04016913319238899,18,26
188165,France,+043:+000,0.5652173913043478,0.4878048780487805,-0.0774125132555673,27,14
188928,Denmark,+055:+009,0.2608695652173913,0.2222222222222222,-0.03864734299516909,8,10
191238,France,+043:+000,0.6046511627906976,0.717948717948718,0.11329755515802031,18,21
191789,Denmark,+055:+009,0.45161290322580644,0.5,0.04838709677419356,10,18
191870,Italy,+040:+013,0.11764705882352941,0.2222222222222222,0.1045751633986928,18,18
