surveyId,fold,country,spatial_block,matched_v29_f1,v30_f1,delta_f1,true_cardinality,predicted_cardinality
1149,0,Denmark,+055:+009,0.5,0.42857142857142855,-0.07142857142857145,13,15
1393,0,Denmark,+056:+010,0.37037037037037035,0.4,0.029629629629629672,8,17
2015,0,France,+044:+004,0.41025641025641024,0.38095238095238093,-0.02930402930402931,22,20
2231,0,Denmark,+055:+009,0.7058823529411765,0.6,-0.10588235294117654,8,12
2272,0,Denmark,+055:+009,0.0,0.0,0.0,7,18
2334,0,Denmark,+055:+009,0.46511627906976744,0.47619047619047616,0.011074197120708729,22,20
2966,0,Denmark,+055:+009,0.12903225806451613,0.14814814814814814,0.019115890083632014,6,21
3014,0,France,+044:+004,0.2857142857142857,0.27450980392156865,-0.011204481792717047,27,24
3097,0,France,+047:+000,0.5555555555555556,0.5555555555555556,0.0,21,15
3129,0,Denmark,+056:+010,0.43478260869565216,0.3448275862068966,-0.08995502248875559,9,20
3145,0,Denmark,+055:+009,0.2857142857142857,0.34285714285714286,0.05714285714285716,18,17
3163,0,France,+048:-004,0.2777777777777778,0.25,-0.02777777777777779,26,14
3367,0,France,+047:+000,0.1951219512195122,0.22727272727272727,0.03215077605321506,28,16
3445,0,Denmark,+055:+009,0.35,0.358974358974359,0.008974358974358998,19,20
3547,0,Denmark,+055:+009,0.13333333333333333,0.11764705882352941,-0.01568627450980392,5,12
3962,0,Denmark,+055:+009,0.5128205128205128,0.5405405405405406,0.027720027720027796,18,19
4308,0,Denmark,+055:+009,0.6666666666666666,0.5882352941176471,-0.07843137254901955,5,12
4414,0,France,+044:+004,0.35294117647058826,0.4230769230769231,0.07013574660633481,30,22
4663,0,Denmark,+056:+010,0.42424242424242425,0.45161290322580644,0.027370478983382185,12,19
5310,0,Denmark,+055:+009,0.17142857142857143,0.20689655172413793,0.0354679802955665,10,19
5719,0,Italy,+045:+011,0.3835616438356164,0.37681159420289856,-0.006750049632717858,35,34
6632,0,Denmark,+056:+010,0.15384615384615385,0.12121212121212122,-0.03263403263403264,11,22
6833,0,Denmark,+055:+009,0.3333333333333333,0.2727272727272727,-0.06060606060606061,9,13
7407,0,Netherlands,+051:+004,0.24,0.2222222222222222,-0.01777777777777778,11,16
7724,0,Denmark,+056:+010,0.20689655172413793,0.21428571428571427,0.007389162561576346,6,22
7917,0,France,+043:+007,0.37037037037037035,0.379746835443038,0.00937646507266765,55,24
9036,0,Denmark,+055:+009,0.5,0.4375,-0.0625,18,14
9038,0,Denmark,+056:+010,0.3870967741935484,0.375,-0.012096774193548376,12,20
9063,0,Denmark,+055:+009,0.5079365079365079,0.6060606060606061,0.09812409812409817,42,24
9078,0,Denmark,+055:+009,0.5,0.45714285714285713,-0.04285714285714287,17,18
9129,0,Austria,+047:+009,0.11320754716981132,0.08333333333333333,-0.029874213836477995,13,35
9274,0,Germany,+052:+007,0.07407407407407407,0.12903225806451613,0.054958183990442055,14,17
9512,0,France,+045:+000,0.5,0.5964912280701754,0.0964912280701754,36,21
9628,0,Denmark,+055:+009,0.42105263157894735,0.36363636363636365,-0.0574162679425837,9,13
9805,0,France,+043:+007,0.1694915254237288,0.18181818181818182,0.012326656394453017,23,32
9873,0,Slovakia,+048:+022,0.0,0.0,0.0,9,29
10147,0,Denmark,+055:+009,0.3125,0.24242424242424243,-0.07007575757575757,15,18
10340,0,Denmark,+056:+010,0.35714285714285715,0.4,0.04285714285714287,11,19
10770,0,Denmark,+055:+009,0.25,0.41379310344827586,0.16379310344827586,13,16
11051,0,Denmark,+055:+009,0.27906976744186046,0.30434782608695654,0.02527805864509608,30,16
11428,0,Denmark,+055:+009,0.35714285714285715,0.3448275862068966,-0.012315270935960576,10,19
11560,0,Denmark,+055:+009,0.6666666666666666,0.6470588235294118,-0.019607843137254832,19,15
11673,0,France,+048:-004,0.37037037037037035,0.4666666666666667,0.09629629629629632,17,13
11823,0,Italy,+046:+011,0.36,0.34782608695652173,-0.012173913043478257,21,25
12012,0,Denmark,+056:+010,0.48484848484848486,0.4375,-0.04734848484848486,11,21
12228,0,France,+048:+002,0.07407407407407407,0.07407407407407407,0.0,8,19
12305,0,Netherlands,+051:+004,0.4,0.32,-0.08000000000000002,10,15
12659,0,Denmark,+056:+010,0.46153846153846156,0.4827586206896552,0.02122015915119363,13,16
12685,0,Denmark,+055:+009,0.41379310344827586,0.4,-0.013793103448275834,14,16
12844,0,Denmark,+056:+010,0.0,0.0,0.0,15,19
13127,0,Netherlands,+051:+004,0.2564102564102564,0.2857142857142857,0.02930402930402931,16,19
13132,0,France,+045:+000,0.48484848484848486,0.4444444444444444,-0.04040404040404044,19,17
13970,0,Netherlands,+051:+004,0.11428571428571428,0.11764705882352941,0.003361344537815128,16,18
14066,0,Germany,+052:+007,0.26666666666666666,0.375,0.10833333333333334,7,9
14412,0,France,+044:+003,0.27450980392156865,0.3181818181818182,0.043672014260249525,16,28
15210,0,Denmark,+055:+009,0.3333333333333333,0.3333333333333333,0.0,13,17
15437,0,Denmark,+055:+009,0.24,0.36363636363636365,0.12363636363636366,38,17
15452,0,France,+048:-004,0.5384615384615384,0.45161290322580644,-0.086848635235732,15,16
15745,0,Denmark,+055:+009,0.3225806451612903,0.3448275862068966,0.02224694104560626,10,19
15848,0,Denmark,+055:+009,0.36363636363636365,0.3333333333333333,-0.03030303030303033,8,16
16230,0,France,+045:+004,0.5172413793103449,0.4727272727272727,-0.044514106583072144,34,21
16314,0,Denmark,+055:+009,0.43478260869565216,0.46153846153846156,0.026755852842809402,11,15
16913,0,Denmark,+055:+009,0.08,0.08,0.0,7,18
17039,0,Denmark,+055:+009,0.5555555555555556,0.5,-0.05555555555555558,16,20
17429,0,Denmark,+055:+009,0.46153846153846156,0.41025641025641024,-0.05128205128205132,20,19
17650,0,Netherlands,+051:+004,0.5,0.5,0.0,14,14
17733,0,Netherlands,+053:+004,0.13333333333333333,0.1111111111111111,-0.022222222222222227,7,11
17995,0,Denmark,+055:+009,0.4166666666666667,0.32558139534883723,-0.09108527131782945,19,24
18247,0,Denmark,+055:+009,0.16216216216216217,0.15384615384615385,-0.008316008316008316,20,19
18378,0,Denmark,+055:+009,0.3076923076923077,0.27586206896551724,-0.03183023872679047,10,19
18487,0,Denmark,+055:+009,0.42105263157894735,0.2702702702702703,-0.15078236130867706,19,18
18816,0,Poland,+053:+018,0.0967741935483871,0.06557377049180328,-0.031200423056583812,40,21
19019,0,Denmark,+056:+010,0.4827586206896552,0.5517241379310345,0.06896551724137928,13,16
19487,0,Denmark,+056:+010,0.2631578947368421,0.2777777777777778,0.0146198830409357,14,22
19779,0,Serbia,+045:+019,0.23255813953488372,0.24691358024691357,0.014355440712029849,46,35
20130,0,Denmark,+055:+009,0.4,0.34285714285714286,-0.05714285714285716,15,20
20233,0,France,+045:+000,0.5,0.5806451612903226,0.08064516129032262,12,19
20292,0,Netherlands,+051:+004,0.5454545454545454,0.4,-0.1454545454545454,3,12
20332,0,Denmark,+055:+009,0.46153846153846156,0.5365853658536586,0.075046904315197,21,20
21198,0,Belgium,+051:+004,0.4,0.38461538461538464,-0.015384615384615385,9,17
21284,0,Denmark,+056:+010,0.25,0.2857142857142857,0.0357142857142857,5,23
22057,0,Denmark,+055:+009,0.45454545454545453,0.4,-0.05454545454545451,20,20
22293,0,Denmark,+056:+010,0.35294117647058826,0.3,-0.05294117647058827,4,16
22379,0,Denmark,+055:+009,0.46808510638297873,0.5416666666666666,0.0735815602836879,28,20
23579,0,Netherlands,+051:+004,0.2857142857142857,0.2222222222222222,-0.06349206349206349,4,14
23584,0,Poland,+053:+018,0.19607843137254902,0.3181818181818182,0.12210338680926916,19,25
24038,0,Netherlands,+051:+004,0.5,0.42857142857142855,-0.07142857142857145,12,16
24499,0,Netherlands,+051:+004,0.23529411764705882,0.23529411764705882,0.0,17,17
24793,0,Denmark,+055:+009,0.16666666666666666,0.15384615384615385,-0.012820512820512803,8,18
25572,0,Denmark,+055:+009,0.35294117647058826,0.42105263157894735,0.06811145510835909,5,14
25854,0,Belgium,+051:+004,0.2631578947368421,0.3125,0.04934210526315791,14,18
25925,0,Netherlands,+051:+004,0.5217391304347826,0.5384615384615384,0.01672240802675584,9,17
27074,0,Denmark,+056:+010,0.6274509803921569,0.625,-0.002450980392156854,25,23
27106,0,Netherlands,+051:+004,0.4,0.3157894736842105,-0.08421052631578951,4,15
27210,0,Montenegro,+042:+018,0.5882352941176471,0.55,-0.038235294117647034,45,35
27225,0,Denmark,+055:+009,0.3125,0.36363636363636365,0.051136363636363646,13,20
27460,0,Denmark,+055:+009,0.5106382978723404,0.4897959183673469,-0.020842379504993458,28,21
27918,0,Denmark,+056:+010,0.3076923076923077,0.25,-0.05769230769230771,5,11
28587,0,Czech Republic,+049:+016,0.20689655172413793,0.24561403508771928,0.038717483363581356,28,29
28732,0,Denmark,+055:+009,0.25,0.3125,0.0625,12,20
29342,0,Denmark,+056:+010,0.5294117647058824,0.5,-0.02941176470588236,15,17
29562,0,Denmark,+056:+010,0.30434782608695654,0.3111111111111111,0.006763285024154575,21,24
29596,0,Denmark,+055:+009,0.5,0.43478260869565216,-0.06521739130434784,8,15
29826,0,France,+044:+003,0.4074074074074074,0.38461538461538464,-0.022792022792022748,32,20
30226,0,Denmark,+055:+009,0.3888888888888889,0.35294117647058826,-0.03594771241830064,16,18
30256,0,France,+048:+004,0.27906976744186046,0.2727272727272727,-0.006342494714587754,23,21
30259,0,Denmark,+055:+009,0.375,0.3870967741935484,0.012096774193548376,13,18
30495,0,Denmark,+055:+009,0.5238095238095238,0.5,-0.023809523809523836,22,18
30569,0,Denmark,+055:+009,0.6666666666666666,0.7,0.033333333333333326,10,10
30603,0,Netherlands,+051:+004,0.1111111111111111,0.1,-0.0111111111111111,5,15
30820,0,Denmark,+055:+009,0.3870967741935484,0.4,0.012903225806451646,7,23
30977,0,Denmark,+054:+008,0.2857142857142857,0.3076923076923077,0.02197802197802201,10,16
31310,0,France,+044:+003,0.1111111111111111,0.11428571428571428,0.003174603174603177,13,22
31754,0,Denmark,+055:+009,0.5142857142857142,0.47368421052631576,-0.04060150375939847,21,17
31765,0,Denmark,+056:+010,0.4827586206896552,0.4827586206896552,0.0,39,19
32058,0,France,+044:+003,0.36363636363636365,0.34146341463414637,-0.02217294900221728,19,22
32931,0,Denmark,+056:+010,0.34782608695652173,0.3076923076923077,-0.04013377926421402,12,14
32950,0,Denmark,+055:+009,0.49056603773584906,0.5384615384615384,0.04789550072568938,28,24
33016,0,Denmark,+055:+009,0.32,0.32653061224489793,0.0065306122448979265,29,20
33301,0,Italy,+046:+011,0.30952380952380953,0.27848101265822783,-0.0310427968655817,44,35
33335,0,Denmark,+055:+009,0.3157894736842105,0.3888888888888889,0.07309941520467839,15,21
33411,0,Netherlands,+051:+004,0.0,0.0,0.0,2,14
33786,0,France,+048:-001,0.38461538461538464,0.3333333333333333,-0.05128205128205132,16,14
34012,0,France,+044:+003,0.13793103448275862,0.125,-0.012931034482758619,13,19
34023,0,Italy,+046:+010,0.4225352112676056,0.417910447761194,-0.004624763506411611,31,36
34125,0,France,+044:+004,0.43243243243243246,0.3902439024390244,-0.04218852999340805,20,21
34330,0,France,+047:+004,0.8181818181818182,0.7619047619047619,-0.05627705627705637,22,20
34412,0,France,+047:+004,0.4888888888888889,0.4782608695652174,-0.010628019323671467,28,18
34658,0,Denmark,+055:+009,0.46153846153846156,0.4827586206896552,0.02122015915119363,12,17
34793,0,Denmark,+055:+009,0.35714285714285715,0.47058823529411764,0.11344537815126049,18,16
35069,0,Denmark,+056:+010,0.4888888888888889,0.55,0.06111111111111117,17,23
35107,0,France,+044:+003,0.14814814814814814,0.15384615384615385,0.005698005698005715,7,19
35254,0,Netherlands,+051:+004,0.21052631578947367,0.19672131147540983,-0.01380500431406384,42,19
